iter	RMSE
0	1036.342411
1	998.0179189
2	965.5740361
3	932.9963859
4	906.6573634
5	876.6491948
6	850.0899726
7	819.8977873
8	796.0690676
9	770.1820162
10	744.6096861
11	721.9551977
12	697.8038723
13	676.1293185
14	656.8178825
15	635.0095139
16	617.6353893
17	600.8360359
18	585.6082259
19	568.5657875
20	552.6774571
21	534.9333832
22	518.8794904
23	503.3714803
24	492.1658848
25	479.1515524
26	465.6269044
27	452.1287489
28	440.3301319
29	429.2876511
30	416.9116443
31	407.5096509
32	398.5698475
33	387.6996644
34	378.6805209
35	369.6933834
36	358.961391
37	351.1371211
38	341.2930997
39	333.4955278
40	326.0268255
41	319.4299026
42	313.1731904
43	306.8500945
44	300.8376274
45	294.2903186
46	288.3814214
47	282.528412
48	276.6854076
49	271.4835737
50	267.0222646
51	260.9241834
52	256.5240102
53	251.7765288
54	247.1023284
55	242.7356246
56	239.1707378
57	236.4188487
58	232.2160596
59	230.0549403
60	227.0751572
61	223.4149385
62	219.7157204
63	216.0906138
64	212.1474828
65	208.5855573
66	206.6640414
67	204.253117
68	202.5790252
69	199.8928692
70	197.1529511
71	193.8847858
72	193.1275138
73	190.9416727
74	189.1149029
75	187.4340752
76	184.3114634
77	181.5246307
78	180.9700964
79	179.4695181
80	177.3402788
81	176.3050698
82	175.6033213
83	174.0649235
84	171.3487249
85	169.1252352
86	168.4404819
87	167.1456018
88	164.7867491
89	163.9626184
90	161.630513
91	159.9537321
92	159.3417562
93	157.6875354
94	155.5904579
95	154.8077367
96	153.680727
97	152.339321
98	150.2261215
99	149.0442018
100	147.6207623
101	147.0325432
102	144.9161433
103	143.7500509
104	143.2178075
105	141.553997
106	140.3700249
107	139.8577037
108	139.4607192
109	138.9523139
110	138.4113489
111	138.0723898
112	136.828949
113	135.7853522
114	134.1574959
115	131.5463395
116	131.1399986
117	130.3581127
118	129.7587744
119	129.0798502
120	127.584635
121	125.865362
122	123.9637876
123	122.9004155
124	121.7731338
125	119.2111061
126	118.6980805
127	117.3542482
128	116.2134431
129	115.4209774
130	113.7705016
131	113.4946599
132	113.1115801
133	111.4772659
134	111.1860222
135	110.8758198
136	109.3028594
137	107.5610375
138	106.9949383
139	106.6698829
140	105.2634084
141	103.9411057
142	103.111867
143	101.7027192
144	100.6147784
145	99.42819245
146	98.21247615
147	97.20615174
148	96.87517169
149	95.76358886
150	95.3711629
151	94.2999699
152	93.15032142
153	92.79475398
154	92.48293207
155	92.16799083
156	90.92327539
157	90.64200557
158	90.34803292
159	88.92004635
160	88.58434578
161	87.34256346
162	86.84390844
163	85.26684557
164	84.8854338
165	84.63872116
166	84.09204205
167	82.39803931
168	82.11242156
169	81.8880852
170	80.80110699
171	79.28500703
172	78.39195949
173	78.07083873
174	77.36809417
175	77.13720284
176	76.38001535
177	75.34770412
178	74.41725715
179	74.199867
180	73.46738511
181	72.6189334
182	71.98013866
183	70.77607803
184	69.93815552
185	69.07351795
186	68.15971515
187	67.4930128
188	66.94113944
189	66.07222079
190	65.87868569
191	65.02118648
192	64.28573847
193	63.79859806
194	63.41303146
195	62.91408905
196	62.3215546
197	61.75095067
198	61.15488458
199	60.4766127
200	59.86437513
201	59.25112642
202	58.62501452
203	58.26082176
204	57.6176463
205	57.118062
206	56.59896399
207	55.86949926
208	55.06869816
209	54.5336483
210	54.19041627
211	53.53668637
212	53.38403499
213	52.82496952
214	52.34211909
215	51.86107354
216	51.49376287
217	51.06815008
218	50.71488272
219	50.29660188
220	49.94904626
221	49.72646677
222	49.41094435
223	48.9859748
224	48.78872284
225	48.39529501
226	48.26479044
227	48.15185006
228	48.05186714
229	47.46285331
230	46.89615502
231	46.81502532
232	46.68284829
233	46.49103475
234	46.36781745
235	45.99281711
236	45.67653288
237	45.58625327
238	45.36426185
239	44.93404219
