iter	Passed	Remaining
0	4	2069
1	7	1941
2	11	1885
3	14	1853
4	18	1874
5	22	1848
6	26	1832
7	29	1820
8	33	1835
9	37	1853
10	41	1839
11	44	1827
12	48	1823
13	52	1816
14	55	1806
15	59	1796
16	63	1795
17	66	1790
18	70	1781
19	73	1773
20	78	1783
21	81	1778
22	85	1773
23	89	1765
24	93	1769
25	96	1764
26	100	1757
27	103	1752
28	107	1746
29	111	1741
30	114	1736
31	118	1729
32	122	1727
33	125	1723
34	129	1717
35	132	1713
36	136	1710
37	140	1706
38	144	1702
39	147	1698
40	151	1692
41	154	1688
42	158	1683
43	162	1678
44	165	1673
45	169	1674
46	173	1669
47	176	1665
48	180	1660
49	184	1659
50	187	1654
51	191	1649
52	194	1644
53	198	1642
54	202	1638
55	206	1635
56	209	1631
57	213	1628
58	217	1623
59	220	1619
60	224	1614
61	228	1614
62	232	1610
63	235	1605
64	239	1602
65	243	1597
66	246	1594
67	250	1589
68	253	1585
69	257	1582
70	261	1579
71	264	1575
72	268	1570
73	272	1566
74	275	1563
75	279	1558
76	282	1553
77	286	1549
78	287	1532
79	291	1529
80	294	1525
81	298	1520
82	302	1517
83	305	1514
84	309	1509
85	312	1505
86	316	1502
87	320	1501
88	324	1499
89	328	1495
90	332	1492
91	335	1489
92	339	1484
93	342	1480
94	346	1477
95	350	1473
96	353	1470
97	357	1465
98	360	1462
99	364	1458
100	368	1454
101	371	1450
102	375	1446
103	379	1443
104	382	1438
105	385	1434
106	389	1430
107	393	1427
108	396	1423
109	400	1419
110	403	1415
111	407	1411
112	411	1408
113	414	1403
114	418	1399
115	421	1396
116	425	1392
117	428	1388
118	432	1384
119	436	1381
120	440	1378
121	443	1374
122	447	1370
123	451	1367
124	454	1364
125	458	1360
126	461	1356
127	465	1353
128	469	1349
129	472	1345
130	476	1341
131	479	1337
132	483	1334
133	487	1330
134	490	1326
135	494	1322
136	498	1319
137	501	1315
138	505	1311
139	508	1307
140	512	1305
141	516	1301
142	520	1298
143	523	1294
144	528	1294
