model,fold,r2,mae,rmse
rf,1,0.8867368949534609,128.07905770587922,369.0514927611586
rf,2,0.93577367705225,125.12602975845338,276.2690792190053
rf,3,0.8366514307600974,181.80959136867523,433.212955317561
rf,4,0.9625532292836211,70.29867255878449,199.56778290644593
rf,5,0.9303660102304203,106.99914511966703,282.06664193803465
mlp,1,0.8793669990197943,260.8372890826814,380.86915339741734
mlp,2,0.7288794733935211,351.8029285298356,567.6190343945327
mlp,3,0.8143164860375318,325.5127812987991,461.88136597508134
mlp,4,0.8658931402994552,258.40203802616657,377.6667433269281
mlp,5,0.6789606656394127,379.78310366087516,605.6478943562463
catboost,1,0.961459472560637,106.86110375623211,215.2789475210069
catboost,2,0.9434348094279268,127.79671065806687,259.2688719863877
catboost,3,0.8629955714688051,199.21254103402129,396.7446427065377
catboost,4,0.9811778526268258,69.07223285069433,141.48742136214807
catboost,5,0.9415585416199999,108.01306955537923,258.40541546548883
xgboost,1,0.8877828121185303,127.76420593261719,367.3435678965946
xgboost,2,0.9364969730377197,103.7485122680664,274.70897953561695
xgboost,3,0.8469768762588501,175.2012939453125,419.2975151965487
xgboost,4,0.9798638224601746,52.5283088684082,146.3429192000761
xgboost,5,0.9453336596488953,97.90967559814453,249.9200262709053
cnn,1,-3.546215534210205,2063.856689453125,2338.1251035819278
cnn,2,-3.665825843811035,2087.323486328125,2354.7239753312915
cnn,3,-3.7734084129333496,2082.65576171875,2341.8444653733945
cnn,4,-3.913390636444092,2040.2327880859375,2285.9877514982445
cnn,5,-3.4496259689331055,1990.53515625,2254.773159322241
stack,1,0.9621270585757643,116.70732500628112,213.4063081363225
stack,2,0.9517383915119554,125.08737416417243,239.48407918384993
stack,3,0.866369660578546,199.70748370959478,391.8287548982233
stack,4,0.9819354824426034,82.20539076860493,138.6105958822881
stack,5,0.9505249762086551,107.90557408208534,237.75742820110838
